cust_id,target,tag
id00609143,0.7348467070910091,1
id00615911,0.7320825618783495,1
id00595612,0.7318142964719142,1
id00557119,0.7310447382266786,1
id00569114,0.7307585476803886,1
id00557696,0.7307144797318059,1
id00592718,0.7297407088207843,1
id00571298,0.7285295591385389,1
id00603239,0.7280233224675181,1
id00584792,0.727249401416393,1
id00650288,0.7237213949028273,1
id00592518,0.7232899617154298,1
id00579989,0.722578492081846,1
id00595750,0.7217362176864794,1
id00584480,0.7217318461685638,1
id00588942,0.7212506179997344,1
id00606793,0.720886679603533,1
id00705346,0.7206695310275829,1
id00567219,0.7201437701852551,1
id00694418,0.719814851643534,1
id00683456,0.719643594120451,1
id00571897,0.7187122288117426,1
id00572169,0.718037009433324,1
id00606459,0.7177657156824638,1
id00582062,0.7173262727752489,1
id00568848,0.7168468400177884,1
id00555962,0.7124482384959543,1
id00614508,0.7121443146157964,1
id00567549,0.7109607854142188,1
id00593031,0.7104440334181051,1
id00596633,0.7095863651681393,1
id00596898,0.7088372511177045,1
id00615477,0.7088164490630319,1
id00579366,0.7087303988734597,1
id00615862,0.7087052237755502,1
id00553338,0.7083017630684779,1
id00645370,0.708077408833939,1
id00637023,0.707948073734109,1
id00615929,0.7078956455433605,1
id00573685,0.7078923517103118,1
id00557292,0.7077508591981384,1
id00597400,0.7076641970447497,1
id00554310,0.7070825949372233,1
id00630152,0.70654741857559,1
id00555779,0.7059843659940183,1
id00607341,0.7057374284757318,1
id00568990,0.7056600051304921,1
id00579893,0.7055962654487625,1
id00558391,0.7053854942842187,1
id00596882,0.705083650471801,1
id00594823,0.7050688357284352,1
id00559336,0.7048602878720018,1
id00587701,0.7048113489943479,1
id00572748,0.7044250813431965,1
id00571191,0.7041908818893622,1
id00735946,0.7037837222841489,1
id00580359,0.7033209323292047,1
id00688208,0.702636933019318,1
id00735763,0.7023876305280636,1
id00570675,0.7023723622508921,1
id00648892,0.701654595290003,1
id00594069,0.7015338469447946,1
id00581332,0.7014252478347683,1
id00735104,0.7014095401209542,1
id00556647,0.7011650266827825,1
id00593271,0.7010861173697527,1
id00689610,0.7007433611414116,1
id00556660,0.7006732829110237,1
id00694927,0.7002344692409083,1
id00593715,0.700055030688629,1
id00579550,0.6996650941521482,1
id00581599,0.6992328294868971,1
id00555458,0.6991469775654634,1
id00641323,0.6990715881560619,1
id00644820,0.6988409899869299,1
id00581287,0.6987070297366708,1
id00579046,0.6985566573937402,1
id00611242,0.6985539301314134,1
id00555518,0.6984576012537694,1
id00592431,0.698417358042174,1
id00557347,0.6983512303855322,1
id00724250,0.6982103473366051,1
id00567934,0.6982091676169305,1
id00580919,0.6981877589292412,1
id00618565,0.6981356869948523,1
id00617081,0.6980260417949057,1
id00593297,0.6979083273795313,1
id00683933,0.6977165956644312,1
id00597037,0.6975496003962263,1
id00580081,0.6973543435973003,1
id00593072,0.696781630341351,1
id00608615,0.6967363360475766,1
id00615654,0.6967051781700282,1
id00571545,0.6965227232365533,1
id00591613,0.6959033039681463,1
id00738275,0.6958375907615174,1
id00608509,0.6957438365903115,1
id00604894,0.6956924866252262,1
id00560164,0.6954830320497608,1
id00572099,0.6947643742705157,1
id00579948,0.694662298074557,1
id00632424,0.6945749007256515,1
id00569605,0.6945143380788638,1
id00567736,0.6944532452891119,1
id00571237,0.6942570392032598,1
id00556270,0.6939945534085185,1
id00555033,0.6939893640493786,1
id00649773,0.69376572314204,1
id00607278,0.6932443778742022,1
id00607147,0.6930133414753459,1
id00569350,0.6927666548794076,1
id00521754,0.6926866496161022,1
id00579244,0.6925891797795765,1
id00696434,0.6925730647257426,1
id00747117,0.6925361635657995,1
id00592053,0.6923872954893382,1
id00570102,0.6923298666683738,1
id00629800,0.6922939262609539,1
id00615335,0.6919955659702919,1
id00616143,0.6918088902786504,1
id00721937,0.6917465589186415,1
id00569297,0.6916975262097815,1
id00521785,0.6910559494031114,1
id00603906,0.6908909002529257,1
id00564538,0.690810178371303,1
id00580660,0.6907876529029237,1
id00570492,0.6907784764858355,1
id00618839,0.6907472188347229,1
id00549841,0.6905477243632202,1
id00639100,0.6904756912097408,1
id00592054,0.6904427530270131,1
id00582331,0.6903351853451631,1
id00571751,0.6902889635785237,1
id00584134,0.690233519544379,1
id00616054,0.6898512009425939,1
id00741009,0.6896737821974613,1
id00673296,0.6895934707099317,1
id00530237,0.6893952321715117,1
id00557272,0.6888214453261226,1
id00560210,0.6886888359019692,1
id00615130,0.6886264602811931,1
id00608519,0.688504496903043,1
id00603597,0.6884918700875217,1
id00608793,0.688476969369228,1
id00556602,0.6884632053828738,1
id00521959,0.6882609323730868,1
id00591924,0.6881399525520581,1
id00510937,0.6880798092987312,1
id00504969,0.6878662964123996,1
id00582918,0.687810413766625,1
id00606290,0.68767776521261,1
id00591499,0.687652136188667,1
id00690047,0.6875449698273673,1
id00605089,0.6874430846635373,1
id00522554,0.6873829787337252,1
id00555386,0.6871045433070668,1
id00520891,0.687102444087236,1
id00593200,0.6870666778194598,1
id00529923,0.6869880448698191,1
id00722486,0.6854651309036115,1
id00683055,0.6854231756925148,1
id00615974,0.6853441882258906,1
id00558097,0.6852835058910284,1
id00626514,0.6850858938652044,1
id00559450,0.6849236465222568,1
id00518516,0.6848889667748974,1
id00582351,0.684886507203297,1
id00606912,0.6846029724854404,1
id00666000,0.68456388195626,1
id00607559,0.6845564185511845,1
id00537226,0.6845141098567359,1
id00592020,0.6844534927118137,1
id00677384,0.6844254539422165,1
id00569150,0.6843379000836166,1
id00739676,0.684022539465599,1
id00557083,0.6839306028669153,1
id00584296,0.683851921062623,1
id00580925,0.6838382589364849,1
id00592612,0.6837939311365466,1
id00608507,0.6835568225215818,1
id00605039,0.6834610793035044,1
id00608041,0.6834546134058939,1
id00683478,0.6833378526335174,1
id00641297,0.6831686858559017,1
id00568426,0.6828773531778008,1
id00559240,0.6828087055782759,1
id00589627,0.6826988012007296,1
id00590946,0.682547101311199,1
id00677066,0.6822512832372997,1
id00557806,0.6822196156406607,1
id00605894,0.6821173252966027,1
id00582835,0.681606554284461,1
id00584008,0.6816064111797366,1
id00559165,0.6814040967099896,1
id00608312,0.681310312353183,1
id00608735,0.6811911183560241,1
id00596418,0.6809943353538112,1
id00593663,0.6807300948719959,1
id00607120,0.6806966589593427,1
id00580851,0.6806289748937179,1
id00609230,0.6802992688109974,1
id00592108,0.6802960879822219,1
id00526820,0.6800019665800027,1
id00690667,0.6799690053103761,1
id00570674,0.6796023246740299,1
id00534394,0.6795868907915281,1
id00584457,0.6795465030806214,1
id00635246,0.6794570793061785,1
id00592882,0.6794359592582112,1
id00641617,0.6794310572621115,1
id00613444,0.6793867111749903,1
id00593769,0.6790321555697106,1
id00599016,0.6790084157064045,1
id00596609,0.6789998954823688,1
id00552938,0.6789116968786486,1
id00515823,0.678530048971578,1
id00579271,0.6784006201368825,1
id00592032,0.6782127414745593,1
id00593976,0.6781753529466242,1
id00569334,0.6779437459620322,1
id00520735,0.677914351128656,1
id00607616,0.6776414938079123,1
id00615113,0.6775493629814665,1
id00606155,0.6775002027882011,1
id00666796,0.6773618377670035,1
id00603537,0.6772139294235485,1
id00560265,0.6771408085955509,1
id00568662,0.6770583141449531,1
id00596741,0.6767757492634253,1
id00557164,0.6767399820222059,1
id00559350,0.6762603470601166,1
id00734722,0.676169827620405,1
id00582754,0.6761300631766868,1
id00564748,0.6755441257597,1
id00572891,0.6755258952991686,1
id00733437,0.6755230685626652,1
id00603136,0.6753661185521727,1
id00581928,0.6751143308864218,1
id00607810,0.6749762774584505,1
id00570689,0.6749639382363138,1
id00607321,0.6749342602544665,1
id00514365,0.6748862146480176,1
id00658044,0.6747795763762748,1
id00594411,0.67449083706258,1
id00570577,0.6744804332792108,1
id00607099,0.6744458080157062,1
id00610925,0.6744092983001753,1
id00584643,0.674304076686329,1
id00655488,0.674241250977537,1
id00579039,0.6740834161887762,1
id00557445,0.674063358220202,1
id00569658,0.6740289343036253,1
id00558599,0.6739131850769953,1
id00617096,0.6738700998383824,1
id00723561,0.6736728725585244,1
id00583564,0.6734655187716155,1
id00594521,0.6733500991643377,1
id00581831,0.6732638304668425,1
id00558766,0.6732341126262124,1
id00593005,0.6729877043460734,1
id00604372,0.6729037769258998,1
id00591270,0.6728423544995962,1
id00699258,0.6728216468589525,1
id00593117,0.6726792888091233,1
id00607536,0.6723068942233066,1
id00736975,0.6722072811957908,1
id00590949,0.6719893161553149,1
id00596554,0.6717957591762032,1
id00523236,0.6717286380830623,1
id00559865,0.6717023602966766,1
id00615353,0.6716659382034817,1
id00703915,0.6716582501727414,1
